id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,timestamp
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,70421.0,1407828695148,1,1407833343412,44527944322,70898.0,69287.0,641.39,0.91916,14135248491.0,1.01423,19989546.0,19989612.0,21000000.0,126080.0,-44.14544,2025-10-06T18:57:42.558Z,67.81,103752.54247,2013-07-06T00:00:00.000Z,,2026-02-15T11:07:23.258Z,2026-02-15 14:08:24.245476
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2061.84,248842154736,2,248842154736,25636709931,2100.05,2042.07,-17.178510730245307,-0.82628,-1939806723.0672607,-0.7735,120692457.8999966,120692457.8999966,,4946.05,-58.31326,2025-08-24T19:21:03.333Z,0.432979,476100.18275,2015-10-20T00:00:00.000Z,"{'times': 38.14399109162029, 'currency': 'btc', 'percentage': 3814.399109162029}",2026-02-15T11:07:23.107Z,2026-02-15 14:08:24.245476
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.59,96727015622,4,158761435005,4584518778,1.66,1.45,0.140225,9.68253,8543988170.0,9.68893,60917315351.0,99985721048.0,100000000000.0,3.65,-56.43745,2025-07-18T03:40:53.808Z,0.00268621,59033.77364,2014-05-22T00:00:00.000Z,,2026-02-15T11:07:22.428Z,2026-02-15 14:08:24.245476
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,89.5,50825321667,7,55517496421,4110486509,90.96,85.9,3.6,4.18951,2059220492.0,4.22265,567957708.5577241,620391352.5329285,,293.31,-69.48639,2025-01-19T11:15:27.957Z,0.500801,17771.37923,2020-05-11T19:35:23.449Z,,2026-02-15T11:07:22.177Z,2026-02-15 14:08:24.245476
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.292913,10774897318,13,13175477021,671585644,0.30059,0.278944,0.01396856,5.00766,520402782.0,5.07488,36800973395.38713,45000000000.0,45000000000.0,3.09,-90.51114,2021-09-02T06:00:10.474Z,0.01925275,1421.40716,2020-03-13T02:22:55.044Z,,2026-02-15T11:07:22.372Z,2026-02-15 14:08:24.245476
429,2026-02-15 14:08:29.705857
You've exceeded the Rate Limit. Please visit https://www.coingecko.com/en/api/pricing to subscribe to our API plans for higher rate limits.,2026-02-15 14:08:29.705857
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,70313.0,1406162891806,1,1406167534570,43472629411,70898.0,69287.0,179.91,0.25653,4122340565.0,0.29402,19989546.0,19989612.0,21000000.0,126080.0,-44.23146,2025-10-06T18:57:42.558Z,67.81,103592.60138,2013-07-06T00:00:00.000Z,,2026-02-15T11:35:48.958Z,2026-02-15 14:35:50.731349
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2060.79,248775478760,2,248775478760,24523867858,2100.05,2042.07,-35.45491253022101,-1.69135,-4227968325.9719543,-1.67111,120692457.8999966,120692457.8999966,,4946.05,-58.33455,2025-08-24T19:21:03.333Z,0.432979,475857.01316,2015-10-20T00:00:00.000Z,"{'times': 38.19058264813048, 'currency': 'btc', 'percentage': 3819.058264813048}",2026-02-15T11:35:49.350Z,2026-02-15 14:35:50.731349
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,1.58,96316957407,4,158088392110,5638291547,1.66,1.46,0.121415,8.29642,7042820624.0,7.88898,60917315351.0,99985721048.0,100000000000.0,3.65,-56.53545,2025-07-18T03:40:53.808Z,0.00268621,58900.74226,2014-05-22T00:00:00.000Z,,2026-02-15T11:35:44.401Z,2026-02-15 14:35:50.731349
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,89.27,50707996482,7,55389341529,4040282352,90.96,86.19,2.57,2.96425,1462903316.0,2.97066,567957691.0086491,620391352.5329285,,293.31,-69.56335,2025-01-19T11:15:27.957Z,0.500801,17726.30226,2020-05-11T19:35:23.449Z,,2026-02-15T11:35:44.298Z,2026-02-15 14:35:50.731349
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.291907,10738885919,13,13131442508,657945191,0.30059,0.280965,0.00961606,3.40644,348199186.0,3.35107,36800973395.38713,45000000000.0,45000000000.0,3.09,-90.54373,2021-09-02T06:00:10.474Z,0.01925275,1416.18179,2020-03-13T02:22:55.044Z,,2026-02-15T11:35:44.416Z,2026-02-15 14:35:50.731349
